froma,fromb,toa,tob
121.424624,31.220367,121.372833,31.212343
121.424624,31.220367,121.372833,31.212343
121.526077,31.259541,121.372833,31.212343
119.923116,32.455778,121.372833,31.212343
121.424624,31.220367,121.372833,31.212343
121.459384,31.247105,121.372833,31.212343
121.459384,31.247105,121.372833,31.212343
121.424624,31.220367,121.372833,31.212343
121.424624,31.220367,121.372833,31.212343
120.894291,31.980171,121.372833,31.212343
121.424624,31.220367,121.372833,31.212343
121.459384,31.247105,121.372833,31.212343
121.437866,31.199190,121.372833,31.212343
121.473701,31.230416,121.372833,31.212343
121.459384,31.247105,121.372833,31.212343
121.437866,31.199190,121.372833,31.212343
121.459384,31.247105,121.372833,31.212343
120.284939,31.920658,121.372833,31.212343
121.469240,31.229860,121.372833,31.212343
116.521854,31.733699,121.411103,31.137858
119.398015,32.377528,121.411103,31.137858
121.437866,31.199190,121.411103,31.137858
117.063754,30.543494,121.411103,31.137858
121.544379,31.221517,121.411103,31.137858
121.397417,31.623587,121.411103,31.137858
121.469240,31.229860,121.411103,31.137858
121.489612,31.405457,121.411103,31.137858
118.763232,32.061707,121.411103,31.137858
107.204744,30.736266,121.411103,31.137858
121.463953,31.204400,121.411103,31.137858
121.381709,31.112813,121.411103,31.137858
121.463953,31.204400,121.411103,31.137858
121.526077,31.259541,121.411103,31.137858
119.922796,28.467630,121.411103,31.137858
115.778676,33.844582,121.411103,31.137858
112.526670,27.914958,121.411103,31.137858
121.505133,31.264600,121.411103,31.137858
121.469240,31.229860,121.411103,31.137858
121.381709,31.112813,121.411103,31.137858
121.397417,31.623587,121.411103,31.137858
104.679114,31.467450,121.411103,31.137858
121.397417,31.623587,121.411103,31.137858
121.381709,31.112813,121.372833,31.212343
121.424624,31.220367,121.372833,31.212343
121.395555,31.249840,121.372833,31.212343
119.412966,32.394210,121.372833,31.212343
121.446437,31.218811,121.372833,31.212343
121.385604,28.372506,121.372833,31.212343
121.526077,31.259541,121.372833,31.212343
121.526077,31.259541,121.372833,31.212343
121.437866,31.199190,121.372833,31.212343
121.424624,31.220367,121.372833,31.212343
121.469240,31.229860,121.372833,31.212343
121.459384,31.247105,121.372833,31.212343
121.381709,31.112813,121.372833,31.212343
121.469240,31.229860,121.372833,31.212343
121.437866,31.199190,121.372833,31.212343
121.437866,31.199190,121.372833,31.212343
121.459384,31.247105,121.372833,31.212343
121.469240,31.229860,121.372833,31.212343
121.424624,31.220367,121.372833,31.212343
119.973987,31.810689,121.372833,31.212343
121.424624,31.220367,121.372833,31.212343
121.447935,37.463822,121.354100,31.100656
120.241566,29.289648,121.354100,31.100656
106.633212,30.455961,121.354100,31.100656
112.588121,31.167820,121.354100,31.100656
121.381709,31.112813,121.354100,31.100656
116.332951,31.392786,121.354100,31.100656
121.341970,30.741991,121.354100,31.100656
118.886856,42.257817,121.354100,31.100656
121.395555,31.249840,121.354100,31.100656
121.227747,31.032243,121.354100,31.100656
121.381709,31.112813,121.354100,31.100656
121.381709,31.112813,121.354100,31.100656
118.223591,33.476051,121.354100,31.100656
117.087614,36.200252,121.354100,31.100656
121.505133,31.264600,121.354100,31.100656
121.381709,31.112813,121.354100,31.100656
121.381709,31.112813,121.354100,31.100656
121.469240,31.229860,121.354100,31.100656
121.341970,30.741991,121.354100,31.100656
109.998488,27.554978,121.354100,31.100656
120.163561,33.347382,121.354100,31.100656
121.124178,31.150681,121.354100,31.100656
121.526077,31.259541,121.503859,31.293929
121.505133,31.264600,121.503859,31.293929
121.341970,30.741991,121.503859,31.293929
111.765617,40.817498,121.503859,31.293929
120.163561,33.347382,121.503859,31.293929
121.526077,31.259541,121.503859,31.293929
117.284124,34.205768,121.503859,31.293929
81.324136,43.916823,121.503859,31.293929
109.941241,33.862703,121.503859,31.293929
121.505133,31.264600,121.503859,31.293929
119.820831,33.990334,121.503859,31.293929
121.526077,31.259541,121.503859,31.293929
109.489727,36.585455,121.503859,31.293929
115.656370,34.414172,121.503859,31.293929
118.804784,34.111022,121.503859,31.293929
121.657441,31.808026,121.503859,31.293929
119.221611,34.596653,121.503859,31.293929
121.526077,31.259541,121.503859,31.293929
121.526077,31.259541,121.503859,31.293929
111.613445,26.420394,121.503859,31.293929
121.544379,31.221517,121.503859,31.293929
121.469240,31.229860,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
121.463953,31.204400,121.475832,31.214941
117.861800,31.598628,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
120.585315,31.298886,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
108.697324,30.930613,121.475832,31.214941
117.284124,34.205768,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
121.397417,31.623587,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
121.550357,29.874556,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
119.647444,29.079059,121.475832,31.214941
108.697324,30.930613,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
117.063754,30.543494,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.544379,31.221517,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.469240,31.229860,121.466792,31.217426
121.265300,31.375602,121.269643,31.386835
117.323725,34.810487,121.269643,31.386835
115.778676,33.844582,121.269643,31.386835
121.265300,31.375602,121.269643,31.386835
121.265300,31.375602,121.269643,31.386835
121.265300,31.375602,121.269643,31.386835
118.763232,32.061707,121.269643,31.386835
121.265300,31.375602,121.269643,31.386835
121.265300,31.375602,121.269643,31.386835
118.432941,31.352859,121.269643,31.386835
116.521854,31.733699,121.269643,31.386835
114.514859,38.042306,121.269643,31.386835
121.489612,31.405457,121.269643,31.386835
121.265300,31.375602,121.269643,31.386835
105.843357,32.435435,121.269643,31.386835
116.964356,33.646373,121.269643,31.386835
115.858197,28.682892,121.269643,31.386835
121.265300,31.375602,121.269643,31.386835
107.643631,35.709077,121.269643,31.386835
113.753602,34.765515,121.269643,31.386835
121.265300,31.375602,121.269643,31.386835
121.395555,31.249840,121.443965,31.242439
120.493286,30.283330,121.443965,31.242439
114.992509,27.113443,121.443965,31.242439
121.395555,31.249840,121.443965,31.242439
121.395555,31.249840,121.443965,31.242439
121.459384,31.247105,121.443965,31.242439
112.938814,28.228209,121.443965,31.242439
121.459384,31.247105,121.443965,31.242439
121.397417,31.623587,121.443965,31.242439
121.469240,31.229860,121.443965,31.242439
104.546773,30.410754,121.443965,31.242439
121.459384,31.247105,121.443965,31.242439
121.459384,31.247105,121.443965,31.242439
121.395555,31.249840,121.443965,31.242439
112.454040,34.619682,121.443965,31.242439
111.467791,27.238892,121.443965,31.242439
121.424624,31.220367,121.443965,31.242439
115.858197,28.682892,121.443965,31.242439
121.505133,31.264600,121.473216,31.304583
114.091023,32.146983,121.473216,31.304583
121.397417,31.623587,121.473216,31.304583
115.464806,38.873891,121.473216,31.304583
121.459384,31.247105,121.473216,31.304583
121.505133,31.264600,121.473216,31.304583
121.505133,31.264600,121.473216,31.304583
118.754026,32.078128,121.473216,31.304583
117.284124,34.205768,121.473216,31.304583
113.900628,29.724692,121.473216,31.304583
121.459384,31.247105,121.473216,31.304583
121.505133,31.264600,121.473216,31.304583
121.489612,31.405457,121.473216,31.304583
116.358181,27.949217,121.473216,31.304583
121.505133,31.264600,121.473216,31.304583
121.526077,31.259541,121.473216,31.304583
121.505133,31.264600,121.473216,31.304583
121.397417,31.623587,121.473216,31.304583
121.181615,31.871173,121.473216,31.304583
121.489612,31.405457,121.473216,31.304583
121.544379,31.221517,121.573668,31.256158
120.755486,30.746129,121.573668,31.256158
115.464806,38.873891,121.573668,31.256158
121.469240,31.229860,121.573668,31.256158
118.432941,31.352859,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
121.395555,31.249840,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
121.505133,31.264600,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
121.526077,31.259541,121.573668,31.256158
121.754709,31.040142,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
117.698563,32.530982,121.573668,31.256158
121.544379,31.221517,121.573668,31.256158
120.755486,30.746129,121.166677,30.898687
106.551556,29.563009,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
117.531623,32.874735,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
113.128958,29.357104,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
120.755486,30.746129,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.341970,30.741991,121.166677,30.898687
121.550357,29.874556,121.473216,31.304583
121.505133,31.264600,121.473216,31.304583
121.505133,31.264600,121.473216,31.304583
121.469240,31.229860,121.473216,31.304583
121.505133,31.264600,121.473216,31.304583
121.489612,31.405457,121.473216,31.304583
121.505133,31.264600,121.473216,31.304583
121.657441,31.808026,121.473216,31.304583
121.505133,31.264600,121.473216,31.304583
121.505133,31.264600,121.473216,31.304583
121.526077,31.259541,121.473216,31.304583
121.505133,31.264600,121.473216,31.304583
121.526077,31.259541,121.473216,31.304583
119.484211,31.416911,121.473216,31.304583
121.526077,31.259541,121.473216,31.304583
121.505133,31.264600,121.473216,31.304583
123.431474,41.805698,121.473216,31.304583
121.505133,31.264600,121.473216,31.304583
121.463953,31.204400,121.473216,31.304583
119.597897,31.723247,121.473216,31.304583
117.812079,30.945429,121.483037,31.171964
119.412966,32.394210,121.483037,31.171964
120.894291,31.980171,121.483037,31.171964
121.469240,31.229860,121.483037,31.171964
108.934235,34.230769,121.483037,31.171964
121.544379,31.221517,121.483037,31.171964
121.544379,31.221517,121.483037,31.171964
117.767953,35.909032,121.483037,31.171964
121.424624,31.220367,121.483037,31.171964
121.544379,31.221517,121.483037,31.171964
121.544379,31.221517,121.483037,31.171964
120.075058,29.306841,121.483037,31.171964
121.463953,31.204400,121.483037,31.171964
117.227239,31.820586,121.483037,31.171964
121.544379,31.221517,121.483037,31.171964
121.395555,31.249840,121.483037,31.171964
121.469240,31.229860,121.483037,31.171964
118.783656,32.059594,121.483037,31.171964
117.063754,30.543494,121.483037,31.171964
121.544379,31.221517,121.483037,31.171964
121.437866,31.199190,121.483037,31.171964
120.163561,33.347382,121.483037,31.171964
120.580232,30.029752,121.483037,31.171964
114.947831,28.238876,121.483037,31.171964
117.323725,34.810487,121.483037,31.171964
117.151796,28.978440,121.483037,31.171964
108.954239,34.265472,121.483037,31.171964
121.505133,31.264600,121.483037,31.171964
128.841147,47.727536,121.483037,31.171964
116.999932,32.625478,121.483037,31.171964
114.416196,23.111847,121.483037,31.171964
115.858197,28.682892,121.483037,31.171964
121.544379,31.221517,121.483037,31.171964
121.505133,31.264600,121.483037,31.171964
114.482606,29.605376,121.483037,31.171964
117.063754,30.543494,121.483037,31.171964
121.657441,31.808026,121.483037,31.171964
121.544379,31.221517,121.483037,31.171964
105.697472,28.590337,121.483037,31.171964
107.468023,31.209571,121.483037,31.171964
100.812860,38.430794,121.483037,31.171964
121.505133,31.264600,121.483037,31.171964
114.013182,33.145649,121.483037,31.171964
118.796877,32.060255,121.483037,31.171964
121.473701,31.230416,121.483037,31.171964
121.544379,31.221517,121.483037,31.171964
121.459384,31.247105,121.410472,31.242131
121.469240,31.229860,121.410472,31.242131
123.918186,47.354348,121.410472,31.242131
121.395555,31.249840,121.410472,31.242131
104.830359,26.592666,121.410472,31.242131
121.657441,31.808026,121.410472,31.242131
121.395555,31.249840,121.410472,31.242131
117.063754,30.543494,121.410472,31.242131
121.395555,31.249840,121.410472,31.242131
121.459384,31.247105,121.410472,31.242131
121.395555,31.249840,121.410472,31.242131
121.459384,31.247105,121.410472,31.242131
120.894291,31.980171,121.410472,31.242131
121.463953,31.204400,121.410472,31.242131
120.894291,31.980171,121.410472,31.242131
121.395555,31.249840,121.410472,31.242131
121.459384,31.247105,121.410472,31.242131
121.469240,31.229860,121.410472,31.242131
121.424624,31.220367,121.410472,31.242131
121.437866,31.199190,121.410472,31.242131
115.778676,33.844582,121.443965,31.242439
121.473701,31.230416,121.443965,31.242439
121.395555,31.249840,121.443965,31.242439
121.469240,31.229860,121.443965,31.242439
117.284922,31.861184,121.443965,31.242439
121.395555,31.249840,121.443965,31.242439
119.412966,32.394210,121.443965,31.242439
121.395555,31.249840,121.443965,31.242439
86.174633,41.725892,121.443965,31.242439
116.329519,39.972134,121.443965,31.242439
121.395555,31.249840,121.443965,31.242439
118.506759,31.670452,121.443965,31.242439
121.395555,31.249840,121.443965,31.242439
120.174258,31.538325,121.443965,31.242439
121.395555,31.249840,121.443965,31.242439
121.395555,31.249840,121.443965,31.242439
121.469240,31.229860,121.443965,31.242439
121.395555,31.249840,121.443965,31.242439
121.395555,31.249840,121.443965,31.242439
121.395555,31.249840,121.443965,31.242439
121.469240,31.229860,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
117.284922,31.861184,121.475832,31.214941
121.550357,29.874556,121.475832,31.214941
121.424624,31.220367,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
119.221611,34.596653,121.475832,31.214941
121.424624,31.220367,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
121.395555,31.249840,121.475832,31.214941
121.446437,31.218811,121.475832,31.214941
121.526077,31.259541,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
121.446437,31.218811,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
118.089425,24.479833,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
121.469240,31.229860,121.475832,31.214941
119.973987,31.810689,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.657441,31.808026,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
117.698563,32.530982,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.459384,31.247105,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
118.763232,32.061707,121.407030,31.349538
121.397417,31.623587,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.397417,31.623587,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.526077,31.259541,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.459384,31.247105,121.407030,31.349538
121.459384,31.247105,121.407030,31.349538
121.489612,31.405457,121.407030,31.349538
121.397417,31.623587,121.407030,31.349538
119.295144,26.100779,121.455533,31.321405
115.814204,32.890124,121.455533,31.321405
121.469240,31.229860,121.455533,31.321405
121.657441,31.808026,121.455533,31.321405
121.505133,31.264600,121.455533,31.321405
121.505133,31.264600,121.455533,31.321405
121.489612,31.405457,121.455533,31.321405
121.505133,31.264600,121.455533,31.321405
121.505133,31.264600,121.455533,31.321405
121.505133,31.264600,121.455533,31.321405
121.489612,31.405457,121.455533,31.321405
118.356448,35.104672,121.455533,31.321405
120.755486,30.746129,121.455533,31.321405
121.505133,31.264600,121.455533,31.321405
126.534967,45.803775,121.455533,31.321405
121.489612,31.405457,121.455533,31.321405
119.459161,32.781659,121.455533,31.321405
121.526077,31.259541,121.455533,31.321405
121.505133,31.264600,121.455533,31.321405
121.469240,31.229860,121.455533,31.321405
121.424624,31.220367,121.455533,31.321405
121.505133,31.264600,121.455533,31.321405
121.459384,31.247105,121.447983,31.239969
121.550357,29.874556,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
121.395555,31.249840,121.447983,31.239969
113.926800,35.303004,121.447983,31.239969
117.284124,34.205768,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
114.696951,33.626149,121.447983,31.239969
120.894291,31.980171,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
117.638678,26.263406,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
121.459384,31.247105,121.447983,31.239969
121.424624,31.220367,121.447983,31.239969
121.395555,31.249840,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.489612,31.405457,121.457054,31.284897
105.724947,34.580863,121.457054,31.284897
118.337481,29.714655,121.457054,31.284897
119.412966,32.394210,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
113.852640,34.035506,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
117.020359,36.668530,121.457054,31.284897
121.505133,31.264600,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
87.627704,43.793026,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.395555,31.249840,121.457054,31.284897
121.459384,31.247105,121.457054,31.284897
121.459384,31.247105,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.505133,31.264600,121.440434,31.283079
119.015285,33.610353,121.440434,31.283079
118.337481,29.714655,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.397417,31.623587,121.440434,31.283079
104.643215,28.751768,121.440434,31.283079
115.840511,34.402512,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.469240,31.229860,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.424624,31.220367,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.459384,31.247105,121.440434,31.283079
121.397417,31.623587,121.440434,31.283079
120.155070,30.274084,121.440434,31.283079
106.631187,29.718143,121.440434,31.283079
121.469240,31.229860,121.440434,31.283079
121.381709,31.112813,121.418021,31.009156
121.469240,31.229860,121.418021,31.009156
118.758816,30.940718,121.418021,31.009156
121.381709,31.112813,121.418021,31.009156
123.429440,41.835441,121.418021,31.009156
115.374564,33.257013,121.418021,31.009156
111.765617,40.817498,121.418021,31.009156
118.544360,33.011971,121.418021,31.009156
123.918186,47.354348,121.418021,31.009156
116.521854,31.733699,121.418021,31.009156
104.066541,30.572269,121.418021,31.009156
121.381709,31.112813,121.418021,31.009156
116.999932,32.625478,121.418021,31.009156
121.381709,31.112813,121.418021,31.009156
118.506759,31.670452,121.418021,31.009156
118.275198,33.963232,121.418021,31.009156
117.227239,31.820586,121.418021,31.009156
121.181615,31.871173,121.418021,31.009156
121.341970,30.741991,121.418021,31.009156
121.381709,31.112813,121.418021,31.009156
121.544379,31.221517,121.362290,31.182868
121.381709,31.112813,121.362290,31.182868
116.766299,33.915477,121.362290,31.182868
121.437866,31.199190,121.362290,31.182868
121.459384,31.247105,121.362290,31.182868
105.283992,27.302589,121.362290,31.182868
119.034725,33.631893,121.362290,31.182868
